Price,Adj Close,Close,High,Low,Open,Volume,STOCH_K,STOCH_D,CCI,WILLIAMS_R,MFI,ROC
Ticker,SPXU,SPXU,SPXU,SPXU,SPXU,SPXU,,,,,,
Date,,,,,,,,,,,,
2020-05-08,331.3896484375,373.0,384.25,371.75,379.0,1195376,22.985781990521335,30.463401790416025,-123.42755283931768,-94.07582938388626,37.565819849591286,-10.81888822474597
2020-05-11,331.3896484375,373.0,383.25,367.5,381.75,1192336,12.761589920620999,22.36866056859037,-119.15226484762887,-92.28395061728395,28.74556283773001,-6.633291614518145
2020-05-12,351.1575622558594,395.25,396.0,366.25,368.25,1359136,17.78874913203003,17.845373681057463,-74.81725855488703,-60.273972602739725,35.48470725762065,-2.4074074074074026
2020-05-13,369.5927734375,416.0,427.25,393.25,398.5,2531840,38.5309205704944,23.027086541048487,14.094102618692938,-31.84931506849315,46.4668828682267,11.378848728246327
2020-05-14,356.2660827636719,401.0,439.75,401.0,428.5,2506540,51.718541297797664,36.01273700010737,28.084050554392547,-52.72108843537415,56.04283366318007,4.29128738621587
2020-05-15,351.6017761230469,395.75,417.0,395.75,412.25,1623984,51.855216972633805,47.368226280308626,-11.430184152966994,-59.863945578231295,55.557115713637614,-4.581072935503316
2020-05-18,319.173583984375,359.25,369.0,352.75,367.75,1715380,31.628743451403555,45.06750057394501,-152.46435387897176,-92.52873563218391,56.29475604348728,-12.538040170419961
2020-05-19,328.72430419921875,370.0,370.5,355.0,361.5,1120436,22.478301665493788,35.32075402984372,-126.37583353418509,-80.17241379310344,63.51284608744855,-7.384230287859827
2020-05-20,312.5102233886719,351.75,356.75,348.0,355.75,1239040,10.462014678401042,21.523019931766132,-155.18288410333085,-95.91280653950953,56.971855671695984,-13.627992633517493
2020-05-21,318.9513854980469,359.0,363.25,348.75,352.5,1545344,11.967960161608573,14.969425501834474,-122.85590439036493,-88.0108991825613,55.85143076525707,-8.59325270528326
2020-05-22,316.9524230957031,356.75,365.0,356.0,360.0,966884,8.53769300635786,10.322555948789166,-103.38254823841903,-90.46321525885558,54.46092147973963,-4.356568364611258
2020-05-26,304.7363586425781,343.0,345.0,332.5,333.25,1354664,10.438698449597636,10.314783872521366,-150.252144304125,-90.20979020979021,54.60001134929047,-8.042895442359255
2020-05-27,291.8539123535156,328.5,351.25,328.25,333.25,1878376,6.517069925996996,8.49782046065084,-141.64848965562837,-99.77578475336323,47.77069902436979,-16.88804554079696
2020-05-28,292.9644775390625,329.75,332.25,317.5,324.75,1558644,6.678291644865695,7.878020006820118,-146.96512109907056,-89.97955010224949,48.199674780066,-20.733173076923073
2020-05-29,289.85491943359375,326.25,341.0,323.5,332.0,1842736,5.800709785688743,6.332023785517154,-118.9701451657082,-92.84253578732107,54.62693664475918,-18.640897755610975
2020-06-01,285.4126892089844,321.25,329.5,319.25,328.25,946016,6.748466257668714,6.409155896074393,-122.17600000000022,-96.93251533742333,55.57178697388463,-18.82501579279848
2020-06-02,278.5272216796875,313.5,323.0,313.5,318.5,952764,3.4083162917518774,5.31916411170312,-126.77374667715016,-100.0,50.50984245659671,-12.734864300626302
2020-06-03,267.42169189453125,301.0,307.75,297.5,307.25,1611304,1.842647201526737,3.999809916982452,-145.72928672045086,-97.53954305799648,40.149729928922575,-18.648648648648646
2020-06-04,269.6427917480469,303.5,309.75,298.5,304.5,1106000,2.4937924813651913,2.581585324881278,-126.435052890159,-94.97907949790795,33.843765097243505,-13.717128642501775
2020-06-05,248.98646545410156,280.25,286.25,274.25,286.0,1769748,4.571714559287269,2.9693847473930752,-157.46606334841644,-93.76623376623377,34.667781567180064,-21.935933147632312
2020-06-08,239.2135772705078,269.25,279.0,269.0,277.5,1129428,3.833664051525835,3.6330570307261083,-150.0255754475703,-99.7536945812808,36.40694547958817,-24.52697967764541
2020-06-09,244.54428100585938,275.25,279.25,271.5,277.0,1066012,4.330162773050707,4.245180461287947,-127.7038590842755,-93.48958333333334,35.195941138527886,-19.752186588921283
2020-06-10,248.7643280029297,280.0,282.25,271.25,274.0,1455788,6.0716851395730735,4.745170654716548,-111.13256889961795,-88.54166666666667,42.077575775252555,-14.764079147640796
2020-06-11,292.0760498046875,328.75,330.5,298.5,300.25,2970412,26.736111111111114,12.379319674578307,-24.67676659145448,-37.76041666666667,45.64638544358826,-0.30326004548900665
2020-06-12,281.19256591796875,316.5,335.25,300.5,303.5,3664300,43.81622551502871,25.541340588570975,-20.921876604044783,-42.24924012158055,35.72324265166119,-2.9885057471264354
2020-06-15,273.8628845214844,308.25,340.0,304.0,336.5,2890616,55.90356931779805,42.151968647979295,-12.035881898651535,-52.27963525835866,38.14689469484255,-4.046692607003887
2020-06-16,257.4266662597656,289.75,305.75,281.75,282.25,2488296,44.763523021501754,48.16110595144284,-75.95588235294132,-71.18055555555556,37.61259049768106,-7.57575757575758
